IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.118.31.189,443,443,true,FRA,Europe,Frankfurt,339,0.41
34.89.238.145,443,443,true,FRA,Europe,Frankfurt,319,0.40
34.85.152.203,443,443,true,IAD,North America,Ashburn,256,0.39
35.194.78.251,443,443,true,IAD,North America,Ashburn,332,0.39
34.150.133.11,443,443,true,IAD,North America,Ashburn,224,0.39
34.86.193.161,443,443,true,IAD,North America,Ashburn,225,0.36
34.65.10.53,443,443,true,FRA,Europe,Frankfurt,283,0.34
34.89.238.145,443,443,true,FRA,Europe,Frankfurt,318,0.33
34.154.178.83,443,443,true,FRA,Europe,Frankfurt,316,0.29
34.116.222.152,443,443,true,FRA,Europe,Frankfurt,374,0.27
34.89.238.145,443,443,true,FRA,Europe,Frankfurt,261,0.25
34.89.147.232,443,443,true,FRA,Europe,Frankfurt,274,0.22
34.116.137.137,443,443,true,FRA,Europe,Frankfurt,379,0.18
34.118.89.90,443,443,true,FRA,Europe,Frankfurt,326,0.17
34.91.150.22,443,443,true,FRA,Europe,Frankfurt,317,0.15
34.118.15.29,443,443,true,FRA,Europe,Frankfurt,346,0.14
34.91.196.131,443,443,true,FRA,Europe,Frankfurt,317,0.12
34.118.111.176,443,443,true,FRA,Europe,Frankfurt,278,0.11
34.89.163.70,443,443,true,FRA,Europe,Frankfurt,318,0.10
